token,cos_male,cos_female,cos_diff,abs_diff
c7266724-4174-43ca-8370-8914ca3a02f3,0.3723029,0.9177201,-0.5454172,0.5454172
51fca593-8fc2-4859-8635-18db53acb496,0.37091005,0.912342,-0.54143196,0.54143196
9f32b9f0-6e6d-42e4-84ac-e257caefc02b,0.3827906,0.9131044,-0.53031385,0.53031385
fee81623-2ef0-4fb3-9a92-3316c16c43f4,0.40566814,0.93344945,-0.5277813,0.5277813
3e9f4939-e546-41c0-92e6-ab62335a0b89,0.38455752,0.9116333,-0.52707577,0.52707577
2929e6b4-b5cd-4382-a1e8-f49a5d2d9fd6,0.37779087,0.904765,-0.52697414,0.52697414
bd1cf950-9524-46a9-a8b2-04947c0a15d6,0.39975953,0.9266723,-0.52691275,0.52691275
25309e48-72d6-47e1-9ac2-45edc11e8b0c,0.38177443,0.90534806,-0.52357364,0.52357364
a3789885-a427-45d4-b565-0ec1035bc8dd,0.3924304,0.9157027,-0.5232723,0.5232723
487090b5-a1e3-4f84-b21b-f08b5d0a1d2a,0.3933134,0.916582,-0.5232686,0.5232686
dd6893e8-bd7a-4481-8a8b-4fff9955b566,0.39378223,0.9168346,-0.52305233,0.52305233
7d5657ad-b947-4852-b47d-ca484da16ef1,0.38376635,0.90681756,-0.5230512,0.5230512
4801251e-7ee6-4170-8a87-cf743ad06661,0.40559906,0.92848665,-0.5228876,0.5228876
61b27a18-f16a-4073-bee1-f657ac1df291,0.38099667,0.90336186,-0.5223652,0.5223652
02a2cde5-44bc-4ccf-86aa-c3bea934a690,0.38618714,0.9084074,-0.52222025,0.52222025
15d7d423-d7da-4f3c-987a-09752670de4e,0.3933072,0.91545504,-0.52214783,0.52214783
a3752023-e159-4f49-a83f-7ff4d40dc3b7,0.39700195,0.9188982,-0.52189624,0.52189624
f8ebefae-8cc9-4153-a3ec-cab5abf9cacb,0.40492138,0.92668253,-0.5217612,0.5217612
df2c30d0-4eeb-43f1-8bfc-d1817cd0b5f7,0.4039127,0.92543626,-0.5215236,0.5215236
852f9618-8371-49bd-ae2c-976c728357e9,0.37997913,0.9013915,-0.5214124,0.5214124
45d879eb-394b-4b59-a533-f3da4740224a,0.37382707,0.8951243,-0.5212972,0.5212972
8a7421a5-89a3-4cbe-90a6-1b13a435eb3a,0.38917264,0.90938383,-0.5202112,0.5202112
fa3bcb09-ce9f-47c6-811e-8340f9c5856f,0.4029378,0.92311555,-0.5201777,0.5201777
40fd15b0-b168-400c-93d1-f2b0f1883243,0.39741167,0.9169704,-0.51955867,0.51955867
8f9f4af9-dd8e-43cc-88f1-4d4657a2ad67,0.40290105,0.9223025,-0.51940143,0.51940143
bbb0fce3-4f6c-44b1-a10c-ddab517f5882,0.38916796,0.90855,-0.51938206,0.51938206
72f4c769-f273-4b54-b0a7-238041c43b3f,0.40218624,0.92148215,-0.51929593,0.51929593
a6f2222c-9e24-433a-b8b7-f2d51b2c3476,0.391622,0.91091263,-0.5192906,0.5192906
058af236-6e69-4877-897d-1c155276a168,0.4085978,0.92750865,-0.5189109,0.5189109
a60b4377-0991-4fc3-b9e2-a216aa38810f,0.40176335,0.91956335,-0.5178,0.5178
